773-ML_M1_34__YAL051W__SCD;1;1;1
803-ML_M1_34__YKL109W__SCD;1;1;1
854-ML_M1_34__YFL018C__SCD;1;1;1
867-ML_M1_34__YGR248W__SCD;1;1;1
967-ML_M3_34__YCL035C__SCD;1;1;1
979-ML_M3_34__YDL247W__SCD;1;1;1
999-ML_M3_34__YGL202W__SCD;1;1;1
1037-ML_M3_34__YLR038C__SCD;1;1;1
1038-ML_M3_34__YLR089C__SCD;1;1;1
564__MSYFP__SCD;1;1;1
837-ML_M1_34__YDL055C__SCD;1;1;2
807-ML_M1_35__YMR042W__SCD;1;1;2
991-ML_M3_34__YEL071W__SCD;1;1;2
1113-ML_M4_35__YBR149W__SCD;1;1;2
807-ML_M1_35__YMR042W__SCD;1;2;2
903-ML_M2_35__YLR044C__SCD;1;2;2
878-ML_M2_36__YIL125W__SCD;1;2;2
972-ML_M3_34__YDL040C__SCD;1;2;2
985-ML_M3_34__YDR513W__SCD;1;2;2
900-ML_M2_34__YKR058W__SCD;1;1;3
951-ML_M2_34__YPR184W__SCD;1;1;3
954-ML_M2_35__YDR536W__SCD;1;1;3
900-ML_M2_34__YKR058W__SCD;1;2;3
921-ML_M2_36__YMR303C__SCD;1;2;3
782-ML_M1_34__YGL035C__SCD;1;1;4
814-ML_M1_34__YKR034W__SCD;1;1;4
862-ML_M1_34__YGR043C__SCD;1;1;4
867-ML_M1_34__YGR248W__SCD;1;1;4
867-ML_M1_34__YGR248W__SCD;1;2;4
1003-ML_M3_34__YGR183C__SCD;1;2;4
1013-ML_M3_34__YIL160C__SCD;1;2;4
857-ML_M1_35__YFR053C__SCD;1;2;4
1048-ML_M3_34__YMR226C__SCD;1;2;4
1057-ML_M3_34__YOL061W__SCD;1;2;4
921-ML_M2_36__YMR303C__SCD;1;1;5
958-ML_M2_34__YNL318C__SCD;1;1;5
895-ML_M2_35__YKL085W__SCD;1;1;5
941-ML_M2_35__YPL061W__SCD;1;1;5
1073-ML_M4_34__YFR033C__SCD;1;1;5
1079-ML_M4_34__YJL214W__SCD;1;1;5
1088-ML_M4_34__YMR189W__SCD;1;1;5
1096-ML_M4_34__YGL205W__SCD;1;1;5
1097-ML_M4_34__YOL077W-A__SCD;1;1;5
1115-ML_M4_34__YPL091W__SCD;1;1;5
807-ML_M1_35__YMR042W__SCD;1;1;6
1103-ML_M4_35__YNR012W__SCD;1;1;6
563__MSRFP__SCD;1;2;6
807-ML_M1_35__YMR042W__SCD;1;2;6
68__YOR063W__SCD;2;2;6
873-ML_M2_34__YHR104W__SCD;1;1;7
900-ML_M2_34__YKR058W__SCD;1;1;7
917-ML_M2_34__YMR105C__SCD;1;1;7
904-ML_M2_35__YLR134W__SCD;1;1;7
1078-ML_M4_34__YMR145C__SCD;1;1;7
1079-ML_M4_34__YJL214W__SCD;1;1;7
68__YOR063W__SCD;4;1;7
884-ML_M2_34__YJL137C__SCD;1;2;7
563__MSRFP__SCD;1;2;7
900-ML_M2_34__YKR058W__SCD;1;2;7
1062-ML_M4_34__YOR180C__SCD;1;2;7
1078-ML_M4_34__YMR145C__SCD;1;2;7
1079-ML_M4_34__YJL214W__SCD;1;2;7
1093-ML_M4_34__YML081C-A__SCD;1;2;7
781-ML_M1_34__YER040W__SCD;1;1;8
870-ML_M5_34__YGR287C__SCD;1;1;8
978-ML_M5_34__YDL185W__SCD;1;1;8
850-ML_M5_35_new__YEL039C__SCD;1;1;8
963-ML_M5_35__YBR039W__SCD;1;1;8
1055-ML_M5_35__YNR072W__SCD;1;1;8
1077-ML_M5_36__YJR158W__SCD;1;1;8
564__MSYFP__SCD;1;1;8
870-ML_M5_34__YGR287C__SCD;1;2;8
879-ML_M5_34__YIL172C__SCD;1;2;8
978-ML_M5_34__YDL185W__SCD;1;2;8
850-ML_M5_35_new__YEL039C__SCD;1;2;8
963-ML_M5_35__YBR039W__SCD;1;2;8
923-ML_M2_36__YMR323W__SCD;1;1;9
870-ML_M5_34__YGR287C__SCD;1;1;9
978-ML_M5_34__YDL185W__SCD;1;1;9
1074-ML_M5_34__YLR348C__SCD;1;1;9
850-ML_M5_35_new__YEL039C__SCD;1;1;9
1023-ML_M3_34__YJR153W__SCD;1;2;9
870-ML_M5_34__YGR287C__SCD;1;2;9
978-ML_M5_34__YDL185W__SCD;1;2;9
